Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8
Tidak Lulus,Tidak Lulus,10.2,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
AGRIBISNIS,pil_1,10.7,10.5,1,0,10.5,10.5,10.5,10.5
PENDIDIKAN MATEMATIKA,pil_1,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.4,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.4,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
AGRIBISNIS,pil_1,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,11.2,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,9.7,11,1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
AGRIBISNIS,pil_1,11.1,11,1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.7,10.6,1.1,0,10.6,10.6,10.6,10.6
EKONOMI PEMBANGUNAN,pil_1,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.8,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.4,10.9,1,0,10.9,10.9,10.9,10.9
AGRIBISNIS,pil_1,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.8,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.4,9.9,1,0,9.9,9.9,9.9,9.9
AGROTEKNOLOGI,pil_1,11.1,11.1,1,0,11.1,11.1,11.1,11.1
Tidak Lulus,Tidak Lulus,10.6,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
ILMU POLITIK,pil_1,10.8,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.2,10.2,1.1,0,10.2,10.2,10.2,10.2
EKONOMI PEMBANGUNAN,pil_1,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.6,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.8,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.1,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.9,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,10.2,10,1.2,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
PENDIDIKAN SEJARAH,pil_1,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10,10.1,1,0,10.1,10.1,10.1,10.1
PENDIDIKAN BIOLOGI,pil_1,11,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,11.1,11,1,0,11,11,11,11
PENDIDIKAN MATEMATIKA,pil_1,11.5,11.4,1,0,11.4,11.4,11.4,11.4
Tidak Lulus,Tidak Lulus,10.6,10.7,1,0,10.7,10.7,10.7,10.7
AGROTEKNOLOGI,pil_1,10.7,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.1,9.9,1.1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,9.9,9.8,1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.8,9.7,1,0,9.7,9.7,9.7,9.7
Tidak Lulus,Tidak Lulus,10.1,9.9,1.2,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
PENDIDIKAN BIOLOGI,pil_1,10.5,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.7,10.5,1,0,10.5,10.5,10.5,10.5
KESEHATAN MASYARAKAT,pil_1,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,9.7,9.6,1,0,9.6,9.6,9.6,9.6
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
PENDIDIKAN MATEMATIKA,pil_1,11.3,11.3,1,0,11.3,11.3,11.3,11.3
KESEHATAN MASYARAKAT,pil_1,10.3,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.7,10.6,1.1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
PENDIDIKAN LUAR SEKOLAH,pil_1,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.7,10.5,1,0,10.5,10.5,10.5,10.5
AGROTEKNOLOGI,pil_1,10.9,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,9.9,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
PENDIDIKAN EKONOMI,pil_1,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.2,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,9.9,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.4,10.5,1,0,10.5,10.5,10.5,10.5
AGROTEKNOLOGI,pil_1,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
AKUNTANSI,pil_1,10.8,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,9.9,9.8,1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.7,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
ILMU POLITIK,pil_1,10.9,10.7,1.1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.9,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10,9.8,1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.2,10.4,1.1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,9.9,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.5,10.4,1.1,0,10.4,10.4,10.4,10.4
PENDIDIKAN GEOGRAFI,pil_1,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.6,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10,9.9,1,0,9.9,9.9,9.9,9.9
Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.3,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10,10,1,0,10,10,10,10
EKONOMI SYARIAH,pil_1,10.3,11,1,0,11,11,11,11
KESEHATAN MASYARAKAT,pil_1,11.3,11.1,1,0,11.1,11.1,11.1,11.1
GIZI,pil_1,10.6,10.6,1,0,10.6,10.6,10.6,10.6
GIZI,pil_1,10.4,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.9,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.1,10,1.1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,9.8,9.7,1,0,9.7,9.7,9.7,9.7
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.2,10.2,1,0,10.2,10.2,10.2,10.2
KESEHATAN MASYARAKAT,pil_1,10.8,10.7,1,0,10.7,10.7,10.7,10.7
KESEHATAN MASYARAKAT,pil_1,11,10.9,1,0,10.9,10.9,10.9,10.9
Tidak Lulus,Tidak Lulus,10.9,9.6,1,0,9.6,9.6,9.6,9.6
Tidak Lulus,Tidak Lulus,10.6,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,9.6,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.5,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.3,10.1,1,0,10.1,10.1,10.1,10.1
EKONOMI SYARIAH,pil_1,10.7,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.7,10.6,1,0,10.6,10.6,10.6,10.6
PENDIDIKAN BIOLOGI,pil_1,10.7,10.5,1,0,10.5,10.5,10.5,10.5
Tidak Lulus,Tidak Lulus,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.3,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.8,10.8,1,0,10.8,10.8,10.8,10.8
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.7,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.9,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.6,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.6,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.3,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.5,11,1,0,11,11,11,11
Tidak Lulus,Tidak Lulus,10.2,10.7,1.1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.6,10.6,1,0,10.6,10.6,10.6,10.6
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,9.9,9.7,1,0,9.7,9.7,9.7,9.7
Tidak Lulus,Tidak Lulus,11.1,11.1,1,0,11.1,11.1,11.1,11.1
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.2,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.4,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.6,10.4,1.1,0,10.4,10.4,10.4,10.4
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,pil_1,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.4,10.3,1,0,10.3,10.3,10.3,10.3
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,pil_1,10.5,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.4,10.4,1,0,10.4,10.4,10.4,10.4
Tidak Lulus,Tidak Lulus,10.9,10.9,1,0,10.9,10.9,10.9,10.9
Tidak Lulus,Tidak Lulus,9.9,9.8,1,0,9.8,9.8,9.8,9.8
Tidak Lulus,Tidak Lulus,10.1,10,1,0,10,10,10,10
Tidak Lulus,Tidak Lulus,10.9,10.7,1,0,10.7,10.7,10.7,10.7
Tidak Lulus,Tidak Lulus,10.8,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.2,10,1,0,10,10,10,10
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,pil_1,10.5,10.3,1,0,10.3,10.3,10.3,10.3
Tidak Lulus,Tidak Lulus,10.2,10.1,1,0,10.1,10.1,10.1,10.1
Tidak Lulus,Tidak Lulus,10.8,10.6,1,0,10.6,10.6,10.6,10.6
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,pil_1,10.3,10.2,1,0,10.2,10.2,10.2,10.2
Tidak Lulus,Tidak Lulus,10.5,10,1,0,10,10,10,10
PENDIDIKAN EKONOMI,pil_1,10.7,10.6,1,0,10.6,10.6,10.6,10.6
